Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Duncan Robinson,SF,26,MIA,28,28,33.3,4,9.7,0.415,3.3,8.4,0.389,0.8,1.4,0.579,0.583,1.3,1.5,0.854,0,3.8,3.8,1.5,0.4,0.3,1.5,2.3,12.6
Glenn Robinson III,SF,27,SAC,22,1,15.7,1.8,4.2,0.43,0.7,2,0.372,1.1,2.3,0.48,0.516,1,1,0.913,0.3,1.3,1.6,0.9,0.1,0.1,0.5,1,5.3
Jerome Robinson,SG,23,WAS,13,3,17,1.7,5.2,0.328,0.7,2.4,0.29,1,2.8,0.361,0.396,1.2,1.3,0.882,0.2,2.4,2.5,1.4,0.5,0.2,0.8,1.6,5.2
Mitchell Robinson,C,22,NYK,27,27,28.8,3.8,5.8,0.66,0,0,0,3.8,5.8,0.66,0.66,0.8,1.7,0.478,3.6,4.8,8.4,0.5,1.2,1.5,0.8,2.9,8.4
Isaiah Roby,PF,22,OKC,22,9,20.2,3.4,6.2,0.54,0.5,1.6,0.314,2.9,4.6,0.618,0.58,1.3,1.9,0.69,1.6,3.5,5.2,1.5,0.7,0.6,1,2.5,8.5
Rajon Rondo,PG,34,ATL,14,2,15.3,1.4,3.9,0.345,0.6,1.9,0.308,0.8,2.1,0.379,0.418,0.1,0.1,0.5,0.3,2,2.3,3.9,0.6,0.1,1.4,0.9,3.4
Derrick Rose,PG,32,TOT,20,0,22.3,5,11.7,0.427,0.8,2.4,0.333,4.2,9.3,0.452,0.462,2.7,3.2,0.841,0.4,1.8,2.2,4,1.2,0.4,1.9,1.1,13.5
Derrick Rose,PG,32,DET,15,0,22.8,5.3,12.3,0.429,0.9,2.6,0.333,4.4,9.7,0.455,0.465,2.8,3.3,0.84,0.4,1.5,1.9,4.2,1.2,0.3,1.9,1.1,14.2
Derrick Rose,G,32,NYK,5,0,20.6,4.2,10,0.42,0.6,1.8,0.333,3.6,8.2,0.439,0.45,2.2,2.6,0.846,0.2,2.6,2.8,3.4,1,0.6,1.6,0.8,11.2
Terrence Ross,SG,29,ORL,28,1,28.8,5.5,13.3,0.414,2,5.7,0.346,3.5,7.6,0.465,0.488,2.4,2.6,0.892,0.3,2.9,3.2,2.1,1,0.5,1.8,2,15.3
Terry Rozier,SG,26,CHO,26,26,33.3,7.5,15.2,0.49,3.4,7.7,0.445,4,7.5,0.536,0.602,2.2,2.8,0.795,0.6,3.5,4.1,3,1.3,0.5,1.7,2,20.6
Ricky Rubio,PG,30,MIN,27,12,25.1,2.5,6.7,0.37,0.6,2.1,0.276,1.9,4.6,0.415,0.414,1.6,2,0.83,0.4,3,3.4,6.5,1.3,0,2.1,2.2,7.2
D'Angelo Russell,PG,24,MIN,20,19,29.2,7,16.3,0.426,3,7.4,0.399,4,8.9,0.449,0.517,2.4,3.2,0.75,0.5,2.2,2.6,5.1,1.1,0.5,2.7,2,19.3
Domantas Sabonis,PF,24,IND,29,29,36.4,8.2,15.5,0.528,1,2.8,0.358,7.2,12.7,0.565,0.56,4.1,5.8,0.71,2.8,8.8,11.6,5.7,1,0.7,3.4,3.6,21.5
Luka Å amaniÄ‡,PF,21,SAS,4,0,2.8,0.5,1.5,0.333,0.5,0.8,0.667,0,0.8,0,0.5,0.3,0.5,0.5,0,0,0,0,0,0,0,0,1.8
JaKarr Sampson,PF,27,IND,13,0,6,0.8,1.9,0.44,0,0.2,0,0.8,1.7,0.5,0.44,0.6,0.8,0.8,0.5,1.5,2,0,0.1,0.2,0.2,0.7,2.3
Dario Saric,PF,26,PHO,10,0,18.1,3.5,8,0.438,1.1,3.5,0.314,2.4,4.5,0.533,0.506,2.3,2.4,0.958,0.7,3.3,4,1.2,1,0.2,1.4,2,10.4
Tomas Satoransky,SG,29,CHI,16,0,20,2.3,4.6,0.493,0.7,1.6,0.44,1.6,3,0.521,0.568,1.2,1.3,0.905,0.3,2.4,2.7,4.9,0.6,0.2,1.5,1.3,6.4
Dennis Schroder,SG,27,LAL,29,29,31.1,5.1,11.5,0.441,1,3.1,0.311,4.1,8.4,0.49,0.483,3.1,3.8,0.82,0.6,3,3.6,4.3,0.9,0.2,2.2,2.7,14.2
Mike Scott,PF,32,PHI,11,3,17.5,1.5,4.4,0.333,1,3.5,0.289,0.5,0.9,0.5,0.448,0.2,0.3,0.667,0.4,2.3,2.6,0.1,0.3,0.2,0.5,1.4,4.1
Collin Sexton,SG,22,CLE,24,24,35.3,8.4,17.4,0.484,1.5,3.6,0.407,7,13.8,0.505,0.526,4.5,5.5,0.805,0.8,1.8,2.5,4.3,1.1,0.2,2.5,2.9,22.8
Landry Shamet,SG,23,BRK,26,0,19,2.3,6.2,0.377,1.6,4.5,0.347,0.8,1.7,0.455,0.503,1.1,1.3,0.879,0.2,1.3,1.5,1.3,0.5,0.2,0.8,1.3,7.4
Pascal Siakam,PF,26,TOR,25,25,35.8,7.6,16.8,0.455,1.2,4.2,0.298,6.4,12.6,0.506,0.492,4.1,5.1,0.797,2.2,5.6,7.8,4.5,1.2,0.6,2.2,3.1,20.6
Chris Silva,PF,24,MIA,6,0,8.8,1,1.5,0.667,0.2,0.2,1,0.8,1.3,0.625,0.722,1.7,2,0.833,1.2,1.8,3,1,0.2,0.3,1.3,2.3,3.8
Ben Simmons,PG,24,PHI,25,25,33.4,5.8,10.4,0.562,0,0.2,0.167,5.8,10.2,0.571,0.563,3.5,5.3,0.667,1.6,6.7,8.3,8,1.7,0.8,3.4,3.2,15.2
Anfernee Simons,SG,21,POR,25,0,17.9,3,7.4,0.413,2.2,5.2,0.42,0.8,2.1,0.396,0.563,0.8,0.9,0.826,0.2,2.1,2.3,1.2,0.2,0.2,0.8,1.7,9
Deividas Sirvydis,SG,20,DET,4,0,1.3,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0
Marcus Smart,PG,26,BOS,17,17,32.3,4.4,11.1,0.394,1.6,5.3,0.311,2.7,5.8,0.469,0.468,2.7,3.6,0.742,0.4,2.4,2.8,6.1,1.8,0.5,1.8,2.3,13.1
Dennis Smith Jr.,PG,23,TOT,7,0,12.1,1.6,4.7,0.333,0.3,1.7,0.167,1.3,3,0.429,0.364,1.1,1.4,0.8,0.3,0.9,1.1,1.6,0.4,0.1,0.7,0.7,4.6
Dennis Smith Jr.,PG,23,NYK,3,0,9.3,0.7,3.3,0.2,0,1.3,0,0.7,2,0.333,0.2,1.7,2,0.833,0,0.7,0.7,1,1,0,0.3,1.3,3
Dennis Smith Jr.,G,23,DET,4,0,14.3,2.3,5.8,0.391,0.5,2,0.25,1.8,3.8,0.467,0.435,0.8,1,0.75,0.5,1,1.5,2,0,0.3,1,0.3,5.8
Ish Smith,PG,32,WAS,19,1,20.6,2.3,6.1,0.379,0.3,1.1,0.25,2.1,5.1,0.406,0.401,0.3,0.8,0.4,0.5,2.9,3.5,4.7,0.8,0.2,1,0.9,5.2
Jalen Smith,PF,20,PHO,8,0,6.3,0.8,2.1,0.353,0.3,0.9,0.286,0.5,1.3,0.4,0.412,0,0.3,0,0.6,0.6,1.3,0.3,0,0.3,0.1,0.4,1.8
Tony Snell,SG,29,ATL,15,0,12.9,1.1,2.7,0.4,0.9,1.9,0.483,0.1,0.7,0.182,0.575,0,0,0,0.4,1.2,1.6,0.9,0.1,0.1,0.4,0.9,3.1
Ray Spalding,F,23,HOU,2,0,9.5,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,1,0,1,1,2,0,0,1,1.5,1.5,2
Cassius Stanley,SG,21,IND,8,0,2.9,0.3,0.9,0.286,0.1,0.3,0.5,0.1,0.6,0.2,0.357,0.5,0.6,0.8,0.3,0.1,0.4,0,0,0.3,0.1,0.9,1.1
Lamar Stevens,PF,23,CLE,18,0,14.7,1.7,4.3,0.403,0.1,0.8,0.133,1.6,3.4,0.468,0.416,1,1.5,0.667,0.4,2.2,2.6,1.1,0.4,0.3,0.4,1.2,4.6
Isaiah Stewart,C,19,DET,26,2,17.9,2.2,4.2,0.523,0,0.2,0.25,2.2,4,0.533,0.528,0.8,1.2,0.7,2.5,2.9,5.4,0.7,0.5,0.9,0.8,2.7,5.2
Max Strus,SF,24,MIA,16,0,14.7,2.6,4.9,0.519,1.7,4,0.422,0.9,0.9,0.933,0.69,0.4,0.6,0.778,0.1,1,1.1,0.5,0.1,0,0.2,1.2,7.3
Edmond Sumner,SG,25,IND,16,4,9.4,1.5,3,0.5,0.3,1,0.313,1.2,2,0.594,0.552,0.6,0.9,0.643,0.4,0.9,1.3,0.5,0.5,0.1,0.6,1.1,3.9
Jae'Sean Tate,SF,25,HOU,28,18,27.3,4,7.3,0.549,0.7,2.1,0.328,3.3,5.2,0.637,0.596,1.2,1.6,0.717,1.6,3.4,5.1,1.8,0.9,0.6,1.2,3,9.9
Jayson Tatum,SF,22,BOS,23,23,35.2,9.3,20.8,0.449,2.7,7,0.389,6.6,13.8,0.479,0.515,4.4,5,0.886,0.6,6.4,7,4.7,1.3,0.4,2.4,1.9,25.8
Jeff Teague,PG,32,BOS,23,3,17.3,1.8,5.7,0.323,0.7,1.7,0.421,1.1,4,0.283,0.385,1.2,1.3,0.9,0.3,1.3,1.6,2,0.9,0.1,1.1,1,5.5
Garrett Temple,SG,34,CHI,26,5,27.5,3.2,7.6,0.426,1.5,4.3,0.36,1.7,3.3,0.512,0.528,0.8,1,0.815,0.5,2.6,3.1,2,1.1,0.5,1,2.4,8.8
Tyrell Terry,PG,20,DAL,11,0,5.1,0.5,1.5,0.313,0,0.6,0,0.5,0.8,0.556,0.313,0.1,0.3,0.333,0,0.5,0.5,0.5,0.5,0,0.2,0.2,1
Daniel Theis,C,28,BOS,26,21,24,3.7,6.5,0.571,0.9,2.2,0.397,2.8,4.2,0.664,0.64,1.1,1.6,0.683,1.3,3.8,5.1,1.4,0.6,1,1,2.8,9.3
Brodric Thomas,SG,24,HOU,4,0,6,0.5,1.8,0.286,0.3,1.5,0.167,0.3,0.3,1,0.357,1.3,1.8,0.714,0.3,0.8,1,1,0.3,0.3,1,1.3,2.5
Matt Thomas,SG,26,TOR,14,0,6,0.8,2,0.393,0.6,1.5,0.429,0.1,0.5,0.286,0.554,0.3,0.3,1,0.1,0.6,0.6,0.4,0.1,0,0.3,0.4,2.5
Tristan Thompson,PF,29,BOS,26,21,22.5,2.8,5.6,0.507,0,0.1,0,2.8,5.5,0.514,0.507,1.3,2.1,0.611,2.9,5.4,8.3,0.8,0.3,0.3,0.9,2.2,7
Sindarius Thornwell,SG,26,NOP,10,1,5.1,0.5,1.2,0.417,0.3,0.6,0.5,0.2,0.6,0.333,0.542,0,0.2,0,0.1,0.2,0.3,0.2,0.4,0,0.1,0.3,1.3
Matisse Thybulle,SG,23,PHI,26,1,17.7,1.2,3.2,0.386,0.6,2,0.288,0.7,1.2,0.548,0.476,0.2,0.5,0.5,0.3,1,1.3,0.8,1.6,0.8,0.3,2,3.3
Xavier Tillman Sr.,PF,22,MEM,19,6,21.2,3.4,6.3,0.546,0.5,1.3,0.375,2.9,5,0.589,0.584,0.6,0.8,0.75,1.4,3.1,4.5,1.6,1,0.6,0.9,2.5,7.9
Obi Toppin,PF,22,NYK,20,0,12,2,4.2,0.482,0.6,1.9,0.297,1.5,2.3,0.63,0.548,0.4,0.5,0.7,0.3,2.2,2.4,0.5,0.2,0.5,0.5,0.9,4.9
Juan Toscano-Anderson,SG,27,GSW,16,10,21.8,2.6,4.7,0.56,0.7,1.6,0.423,1.9,3.1,0.633,0.633,0.6,0.9,0.714,0.8,4,4.8,2.3,0.6,0.7,1.1,2.3,6.6
Karl-Anthony Towns,C,25,MIN,9,9,33.1,7.7,15.1,0.507,2,4.7,0.429,5.7,10.4,0.543,0.574,4.4,4.8,0.93,3.1,7.4,10.6,3.3,1,1.9,2.8,3.3,21.8
Gary Trent Jr.,SG,22,POR,26,13,30.2,5.5,12.5,0.44,3.2,7.2,0.447,2.3,5.3,0.431,0.569,1.1,1.4,0.784,0.5,1.6,2.1,1.4,0.7,0.2,0.7,1.5,15.3
P.J. Tucker,PF,35,HOU,26,26,30,1.6,4.3,0.375,0.9,2.8,0.329,0.7,1.5,0.462,0.482,0.5,0.7,0.824,1,3.6,4.6,1.4,0.8,0.5,1,3,4.7
Myles Turner,C,24,IND,27,27,31.2,4.7,9.4,0.498,1.4,4.4,0.325,3.2,4.9,0.654,0.575,2.4,3.1,0.776,1.3,5.3,6.6,1,1.1,3.5,1.4,3.6,13.2
Jonas ValanÄiÅ«nas,C,28,MEM,19,18,27.5,6.5,11.2,0.585,0.4,1.1,0.381,6.1,10.1,0.607,0.604,3.1,4.1,0.753,3.2,7.6,10.8,2.1,0.6,0.8,2.2,3.3,16.5
Denzel Valentine,SG,27,CHI,23,3,20.1,3.2,8.2,0.388,1.9,5,0.377,1.3,3.2,0.405,0.503,0.3,0.3,1,0.3,3.6,3.9,1.8,0.7,0,0.6,1.3,8.5
Jarred Vanderbilt,PF,21,MIN,27,10,19.1,2.5,4.2,0.602,0,0.1,0.5,2.5,4.1,0.604,0.606,1,1.9,0.51,1.9,4.1,6,1.7,1.1,0.7,0.9,2.2,6
Fred VanVleet,SG,26,TOR,28,28,36.4,6.9,16.6,0.417,3.3,8.7,0.377,3.6,7.9,0.462,0.516,3.3,3.6,0.892,0.7,3.5,4.2,6.6,1.7,0.7,2.1,2.3,20.4
Devin Vassell,SF,20,SAS,26,1,17.3,1.9,4.8,0.397,1,2.4,0.397,1,2.4,0.397,0.496,0.7,0.8,0.857,0.6,2.6,3.2,1.1,1.1,0.3,0.5,1.2,5.5
Gabe Vincent,PG,24,MIA,18,5,16.2,2.3,6.4,0.353,0.9,3.9,0.239,1.3,2.5,0.533,0.427,0.8,0.9,0.882,0.2,1,1.2,1.5,0.4,0.1,1,2,6.3
Noah Vonleh,F,25,BRK,3,0,2.7,0,0.7,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0.7,0.7,0
Nikola VuÄeviÄ‡,C,30,ORL,29,29,33.6,9.3,19.6,0.476,2.6,6.2,0.414,6.8,13.4,0.505,0.542,2.1,2.6,0.816,2.1,9.5,11.6,3.4,1.1,0.6,1.7,1.7,23.4
Dean Wade,PF,24,CLE,23,0,8.3,0.7,2.1,0.347,0.5,1.4,0.333,0.3,0.7,0.375,0.459,0.2,0.2,0.8,0.3,0.9,1.3,0.4,0.2,0.1,0.4,0.7,2.1
Moritz Wagner,C,23,WAS,14,3,13.6,2.3,3.9,0.593,0.4,1.3,0.333,1.9,2.6,0.722,0.648,1.1,1.8,0.64,0.4,2.6,3.1,0.9,0.6,0.3,0.6,2.6,6.1
Kemba Walker,PG,30,BOS,13,13,28,5.5,15,0.364,2.6,7.3,0.358,2.8,7.7,0.37,0.451,2.8,3.2,0.902,0.5,3.2,3.7,4,1.1,0.2,2.2,1.3,16.4
Lonnie Walker,SG,22,SAS,25,22,26.6,4,10,0.406,1.6,4.4,0.355,2.5,5.6,0.446,0.484,1.1,1.4,0.8,0.2,2.7,2.9,1.7,0.5,0.4,1,2.1,10.8
John Wall,PG,30,HOU,19,19,31.1,7.4,16.8,0.441,2.1,5.8,0.351,5.4,11,0.488,0.502,3.5,4.7,0.744,0.5,3.2,3.7,6.3,1,0.7,3.5,1.4,20.4
Brad Wanamaker,PG,31,GSW,29,0,16,1.3,4,0.336,0.3,1.6,0.222,1,2.4,0.408,0.379,1.3,1.5,0.884,0.2,1.6,1.8,2.7,0.8,0.1,0.8,1.4,4.3
T.J. Warren,SF,27,IND,4,4,29.3,6.8,12.8,0.529,0,1.8,0,6.8,11,0.614,0.529,2,2.5,0.8,0.5,3,3.5,1.3,0.5,0,1,4,15.5
P.J. Washington,PF,22,CHO,24,24,28.8,4,9.6,0.42,1.1,3.3,0.329,3,6.3,0.467,0.476,2,2.7,0.738,1.7,4.9,6.5,3,0.9,1.3,2,2.7,11.2
Yuta Watanabe,SF,26,TOR,18,0,12.4,1,2.8,0.353,0.7,1.6,0.429,0.3,1.3,0.261,0.471,0.4,0.4,1,0.9,2.4,3.3,0.4,0.5,0.6,0.4,1.1,3.1
Tremont Waters,PG,23,BOS,9,1,10,0.7,3,0.222,0.3,1.3,0.25,0.3,1.7,0.2,0.278,0.8,0.9,0.875,0.2,0.7,0.9,2.8,0.6,0,1.4,0.7,2.4
Paul Watson,SF,26,TOR,13,0,3.2,0.7,1.1,0.643,0.6,0.8,0.727,0.1,0.2,0.333,0.929,0,0,0,0.1,0.6,0.7,0.2,0,0.2,0.1,0.5,2
Quinndary Weatherspoon,SG,24,SAS,5,0,4.8,0.2,1,0.2,0,0.2,0,0.2,0.8,0.25,0.2,0.4,0.4,1,0,0.4,0.4,0.6,0.2,0,1.2,1.4,0.8
Russell Westbrook,PG,32,WAS,19,19,33.2,7.3,17.9,0.406,1.2,4.1,0.295,6.1,13.8,0.439,0.44,3.2,5.1,0.619,1.8,7.6,9.4,9.5,0.8,0.4,4.9,2.8,18.9
Coby White,PG,20,CHI,27,27,33.5,5.6,13.8,0.403,2.4,6.8,0.35,3.2,7,0.455,0.489,1.9,2.2,0.867,0.3,4.4,4.7,5.4,0.4,0.1,2.4,2.4,15.4
Derrick White,SG,26,SAS,8,4,23.6,4.3,10.8,0.395,1.9,5.5,0.341,2.4,5.3,0.452,0.483,1.4,1.9,0.733,0.1,1.6,1.8,3.9,1,1,0.9,2.3,11.8
Hassan Whiteside,C,31,SAC,20,0,14.8,3.5,5.7,0.619,0,0.1,0,3.5,5.6,0.625,0.619,1.4,2.6,0.529,1.6,4.1,5.7,0.5,0.3,1.4,1,1.8,8.4
Andrew Wiggins,PF,25,GSW,29,29,32.2,6.7,14.4,0.468,1.9,5.2,0.373,4.8,9.2,0.521,0.535,2.3,3.4,0.67,1,3.7,4.8,2.1,0.7,1.3,1.8,2.4,17.7
Grant Williams,PF,22,BOS,24,6,19.3,1.9,4.3,0.451,0.9,2.2,0.415,1,2,0.49,0.559,0.6,1.2,0.517,1,2,3,1,0.5,0.4,1,3,5.4
Kenrich Williams,PF,26,OKC,28,6,18.3,2.3,4.3,0.537,0.5,1.2,0.441,1.8,3.1,0.575,0.599,0.4,0.7,0.632,1.4,2.5,3.9,1.7,0.8,0.2,0.9,1.7,5.6
Lou Williams,PG,34,LAC,28,3,22.4,4.4,10.4,0.423,1.1,2.8,0.38,3.3,7.6,0.439,0.474,2.5,2.9,0.854,0.4,2,2.4,3.9,0.8,0.1,1.5,1,12.4
Patrick Williams,PF,19,CHI,26,26,27.7,3.7,8.1,0.455,0.9,2.2,0.397,2.8,5.9,0.477,0.509,1.8,2.3,0.797,0.9,3.7,4.6,1.1,0.7,0.7,1.5,2.3,10.1
Robert Williams,C,23,BOS,21,0,15.1,2.7,3.7,0.727,0,0,0,2.7,3.6,0.737,0.727,0.8,1.1,0.667,2.2,3.1,5.3,0.8,1,1.1,1,1.6,6.1
Zion Williamson,PF,20,NOP,27,27,32.6,9.6,15.6,0.618,0.2,0.6,0.375,9.4,15,0.627,0.625,5.6,7.7,0.718,2.4,4.4,6.8,3.1,1,0.7,2.3,2.6,25
D.J. Wilson,PF,24,MIL,10,0,9.4,1.4,3.7,0.378,0.8,2.3,0.348,0.6,1.4,0.429,0.486,0.1,0.2,0.5,0.3,1.9,2.2,0.3,0.1,0.3,0.4,1.2,3.7
Dylan Windler,SF,24,CLE,15,0,17.5,2.1,4.3,0.477,0.9,2.8,0.31,1.2,1.5,0.783,0.577,1,1.1,0.882,0.7,3,3.7,1.2,0.6,0.5,1,1.3,6
Cassius Winston,PG,22,WAS,6,0,7.3,0.7,1.7,0.4,0.5,1.2,0.429,0.2,0.5,0.333,0.55,0.3,0.3,1,0,0.7,0.7,1,0,0.2,0.2,0.7,2.2
James Wiseman,C,19,GSW,20,16,21,4.9,9.8,0.503,0.5,1.1,0.409,4.5,8.7,0.514,0.526,1.9,3.1,0.623,1.5,4.6,6.1,0.7,0.4,1.3,1.6,3.2,12.2
Christian Wood,C,25,HOU,17,17,31.2,8.8,15.7,0.558,1.9,4.5,0.421,6.9,11.2,0.613,0.618,2.6,3.8,0.688,1.8,8.4,10.2,1.3,0.9,1.5,1.8,1.9,22
Robert Woodard,SF,21,SAC,6,0,2.8,1,1.8,0.545,0.2,0.5,0.333,0.8,1.3,0.625,0.591,0,0.3,0,0.5,0.8,1.3,0,0,0,0.2,0,2.2
Delon Wright,SG,28,DET,28,23,29.4,3.7,8.1,0.456,0.9,2.4,0.353,2.9,5.7,0.5,0.509,2.2,2.8,0.785,1.1,3.5,4.6,4.9,1.4,0.5,1.2,1.1,10.5
Thaddeus Young,PF,32,CHI,23,0,25.7,5.1,8.7,0.587,0.2,0.9,0.238,4.9,7.8,0.628,0.6,0.7,1.5,0.5,2.4,3.4,5.8,4.4,1.4,0.5,2,2.9,11.2
Trae Young,PG,22,ATL,26,26,34.7,7.6,17.7,0.429,2.3,6.2,0.369,5.3,11.5,0.462,0.493,9,10.2,0.887,0.7,3.2,3.8,9.3,0.8,0.3,4.3,2,26.5
Cody Zeller,C,28,CHO,15,12,24.1,4.2,8,0.525,0.2,1.1,0.188,4,6.9,0.577,0.538,1.5,1.9,0.759,2.6,5.4,8,2.5,0.7,0.6,0.9,2.5,10.1
Ivica Zubac,C,23,LAC,30,1,19.5,3.2,4.7,0.669,0,0,0,3.2,4.7,0.674,0.669,2,2.4,0.845,2.3,4.4,6.6,1.1,0.4,0.8,1,2.6,8.3
